date,value
2025-03-25,29.474389266085
2025-03-26,29.451453073672
2025-03-27,29.536413708759
2025-03-28,29.330614759306
2025-03-31,28.56645119534
2025-04-01,28.774953181135
2025-04-02,28.812969763964
2025-04-03,28.568269878785
2025-04-07,25.747327732994
2025-04-08,25.992279867034
2025-04-09,26.485212496865
2025-04-10,26.987846286355
2025-04-11,27.247608880179
2025-04-14,27.501108175886
2025-04-15,27.368590460759
2025-04-16,27.124760848274
2025-04-17,27.108432616158
2025-04-18,27.102368710151
2025-04-21,27.531239688352
2025-04-22,27.481760222613
2025-04-23,27.581392725952
2025-04-24,27.443840469989
2025-04-25,27.523120122193
2025-04-28,27.408099812109
2025-04-29,27.444520477827
2025-04-30,27.627691568649
2025-05-06,28.113921455451
2025-05-07,28.118199324354
2025-05-08,28.207214407548
2025-05-09,27.970028207003
2025-05-12,28.245012505642
2025-05-13,28.222351282086
2025-05-14,28.275266457398
2025-05-15,27.882256648726
2025-05-16,27.892932651033
2025-05-19,27.952982299906
2025-05-20,28.09398225482
2025-05-21,28.146942157165
2025-05-22,27.893045965644
2025-05-23,27.67158345765
2025-05-26,27.730257996151
2025-05-27,27.600891107989
2025-05-28,27.560451327247
2025-05-29,27.949330318035
2025-05-30,27.721956517347
2025-06-03,27.895686441586
2025-06-04,28.122148768851
2025-06-05,28.144263690814
2025-06-06,28.100387755678
2025-06-09,28.350845150174
2025-06-10,28.113494508176
2025-06-11,28.238616504434
2025-06-12,28.281732292158
2025-06-13,28.003686275503
2025-06-16,28.07358267194
2025-06-17,27.963473844876
2025-06-18,27.958245919578
2025-06-19,27.652732722752
2025-06-20,27.475892867023
2025-06-23,27.637729945839
2025-06-24,28.071625116615
2025-06-25,28.493282278835
2025-06-26,28.343856724574
2025-06-27,28.409030965012
2025-06-30,28.379116786746
2025-07-01,28.500467290589
2025-07-02,28.296317760656
2025-07-03,28.417942183937
2025-07-04,28.373191807888
2025-07-07,28.350467038943
2025-07-08,28.687505178802
2025-07-09,28.611594165891
2025-07-10,28.753620656993
2025-07-11,28.946685220983
2025-07-14,28.950040293339
2025-07-15,28.917805880016
2025-07-16,28.898964904139
2025-07-17,29.206872179708
2025-07-18,29.309174864872
2025-07-21,29.641908806162
2025-07-22,29.950860559163
2025-07-23,29.870795454075
2025-07-24,30.33164262604
2025-07-25,30.298556327484
2025-07-28,30.356264293514
2025-07-29,30.527503619451
2025-07-30,30.312981384049
2025-07-31,29.868577867986
2025-08-01,29.800217288204
2025-08-04,30.054582178576
2025-08-05,30.287430844439
2025-08-06,30.561741685051
2025-08-07,30.448985971327
2025-08-08,30.373350120327
2025-08-11,30.673592707874
2025-08-12,30.745587061455
2025-08-13,31.125607561206
2025-08-14,30.769826265049
2025-08-15,31.415382252926
2025-08-18,31.858592635832
2025-08-19,31.744889164477
2025-08-20,32.083990147011
2025-08-21,32.013862588662
2025-08-22,32.514561897736
2025-08-25,33.094980410421
2025-08-26,33.11184358179
2025-08-27,32.622638655346
2025-08-28,33.175926678869
2025-08-29,33.407840671294
2025-09-01,33.751367875257
2025-09-02,33.154995637374
2025-09-03,32.712177649507
2025-09-04,31.91693706656
2025-09-05,32.887155552296
2025-09-08,33.260078620174
2025-09-09,33.040241970286
2025-09-10,32.960007348286
2025-09-11,33.711858648991
2025-09-12,33.831060132766
2025-09-15,33.79674485002
2025-09-16,34.000112519897
2025-09-17,34.350542344929
2025-09-18,34.066052573511
2025-09-19,33.958147683448
2025-09-22,34.132279225394
2025-09-23,33.880888014758
2025-09-24,34.547020546478
2025-09-25,34.611222282813
2025-09-26,34.180362291851
2025-09-29,34.647757765675
2025-09-30,33.535627123754
2025-10-09,34.150679132445
2025-10-10,33.548152133934
2025-10-13,33.498342608385
2025-10-14,32.736183148076
2025-10-15,33.165326855084
2025-10-16,32.874387100161
2025-10-17,31.943585757634
2025-10-20,32.162274814468
2025-10-21,32.665024617297
2025-10-22,32.411104452403
2025-10-23,32.442902075912
2025-10-24,32.938993396438
2025-10-27,33.448978450275
2025-10-28,33.362831917892
2025-10-29,33.995184380693
2025-10-30,33.596911982431
2025-10-31,33.443064355598
2025-11-03,33.461601041572
2025-11-04,32.92939880324
2025-11-05,33.035698454957
2025-11-06,33.553774250402
2025-11-07,33.497751714052
2025-11-10,33.574003944848
2025-11-11,33.397347079511
2025-11-12,33.243107112967
2025-11-13,33.75799491911
2025-11-14,33.251280846146
2025-11-17,33.199422576302
2025-11-18,32.772595874457
2025-11-19,32.631638097445
2025-11-20,32.38434005361
2025-11-21,31.357341491226
2025-11-24,31.592539032796
2025-11-25,31.911315134337
2025-11-26,31.932486120105
2025-11-27,31.868397183568
2025-11-28,32.229782223704
2025-12-01,32.535135510078
2025-12-02,32.240351715983
2025-12-03,32.090002806221
2025-12-04,32.166625423797
2025-12-05,32.521783741433
2025-12-08,32.807841154329
2025-12-09,32.516630247042
2025-12-10,32.648510941732
2025-12-11,32.341676286098
2025-12-12,32.785753841842
2025-12-15,32.530480495269
2025-12-16,32.038639843108
2025-12-17,32.624926650513
2025-12-18,32.470846017059
2025-12-19,32.762505264548
2025-12-22,33.140650734477
2025-12-23,33.148997961966
2025-12-24,33.566067868181
2025-12-25,33.807773670803
2025-12-26,34.021853400803
2025-12-29,33.897672777212
2025-12-30,33.989754643241
2025-12-31,34.031635201086
2026-01-05,34.909808680658
2026-01-06,35.618696002969
2026-01-07,35.919438109445
2026-01-08,35.993976036971
2026-01-09,36.699676677695
2026-01-12,37.451947223215
2026-01-13,37.15303898022
2026-01-14,37.500248069006
2026-01-15,37.467636586595
2026-01-16,37.563193635506
2026-01-19,37.796916377315
2026-01-20,37.607671225231
2026-01-21,38.02109385717
2026-01-22,38.272186076895
2026-01-23,39.103921588357
2026-01-26,38.733594729855
2026-01-27,38.908299012661
2026-01-28,39.18568707303
2026-01-29,38.827286369034
2026-01-30,38.164118281439
2026-02-02,36.62282578867
2026-02-03,37.67704412155
2026-02-04,37.826729730388
2026-02-05,37.192447084027
2026-02-06,37.191643736496
2026-02-09,37.883503251066
2026-02-10,37.885096669615
2026-02-11,38.011450990378
2026-02-12,38.377844063412
2026-02-13,37.848685302071
2026-02-24,38.279821947346
2026-02-25,38.875886053311
2026-02-26,38.946957798822
2026-02-27,39.355437435453
2026-03-02,39.383646905467
2026-03-03,37.778750370741
2026-03-04,37.610696645432
2026-03-05,37.8496117692
2026-03-06,38.111540686801
2026-03-09,37.742240538141
2026-03-10,38.330816585224
2026-03-11,38.329318509429
2026-03-12,38.200452183159
2026-03-13,37.672686176778
2026-03-16,37.461229422927
2026-03-17,36.746169105929
2026-03-18,37.076683357231
2026-03-19,36.136007058564
2026-03-20,35.625288755512
2026-03-23,34.16846443402
2026-03-24,34.949164535505
2026-03-25,35.110766919496
2026-03-26,34.552469027537
2026-03-27,34.973159837186
2026-03-30,35.029049559794
2026-03-31,33.930582135723
2026-04-01,34.545292484655
2026-04-02,33.9585672257
2026-04-03,33.606952331257
2026-04-07,33.768048325751
2026-04-08,35.334284133355
2026-04-09,35.100418095383
2026-04-10,35.410154253617
2026-04-13,35.413108576316
2026-04-14,35.89967876232
2026-04-15,35.772804547045
2026-04-16,36.27317009705
2026-04-17,36.382895629172
2026-04-20,36.419824636379
2026-04-21,36.357673165646
2026-04-22,36.779309167055
2026-04-23,36.447569663859
2026-04-24,36.248585508685
2026-04-27,36.449776699266
2026-04-28,36.062509090823
